vote_number,senator_number,vote
239,1,Nay
239,2,Yea
239,3,Nay
239,4,Yea
239,5,Yea
239,6,Nay
239,7,Yea
239,8,Nay
239,9,Yea
239,10,Yea
239,11,Nay
239,12,Nay
239,13,Yea
239,14,Not Voting
239,15,Nay
239,16,Nay
239,17,Nay
239,18,Nay
239,19,Yea
239,20,Yea
239,21,Nay
239,22,Yea
239,23,Not Voting
239,24,Yea
239,25,Nay
239,26,Nay
239,27,Yea
239,28,Nay
239,29,Not Voting
239,30,Nay
239,31,Yea
239,32,Yea
239,33,Yea
239,34,Nay
239,35,Nay
239,36,Not Voting
239,37,Yea
239,38,Nay
239,39,Nay
239,40,Yea
239,41,Yea
239,42,Nay
239,43,Nay
239,44,Nay
239,45,Yea
239,46,Yea
239,47,Yea
239,48,Not Voting
239,49,Nay
238,0,Nay
238,1,Nay
238,2,Yea
238,3,Nay
238,4,Yea
238,5,Yea
238,6,Nay
238,7,Yea
238,8,Nay
238,9,Yea
238,10,Yea
238,11,Yea
238,12,Nay
238,13,Yea
238,14,Not Voting
238,15,Nay
238,16,Yea
238,17,Nay
238,18,Nay
238,19,Yea
238,20,Yea
238,21,Nay
238,22,Yea
238,23,Not Voting
238,24,Yea
238,25,Nay
238,26,Nay
238,27,Yea
238,28,Nay
238,29,Nay
238,30,Yea
238,31,Yea
238,32,Yea
238,33,Yea
238,34,Nay
238,35,Nay
238,36,Not Voting
238,37,Yea
238,38,Nay
238,39,Nay
238,40,Yea
238,41,Yea
238,42,Nay
238,43,Nay
238,44,Nay
238,45,Yea
238,46,Yea
238,47,Yea
238,48,Nay
238,49,Nay
237,0,Nay
237,1,Nay
237,2,Yea
237,3,Nay
237,4,Yea
237,5,Yea
237,6,Nay
237,7,Yea
237,8,Nay
237,9,Yea
237,10,Yea
237,11,Yea
237,12,Nay
237,13,Yea
237,14,Nay
237,15,Nay
237,16,Yea
237,17,Not Voting
237,18,Nay
237,19,Yea
237,20,Yea
237,21,Nay
237,22,Yea
237,23,Not Voting
237,24,Yea
237,25,Nay
237,26,Nay
237,27,Yea
237,28,Nay
237,29,Nay
237,30,Yea
237,31,Yea
237,32,Yea
237,33,Yea
237,34,Nay
237,35,Nay
237,36,Not Voting
237,37,Yea
237,38,Nay
237,39,Nay
237,40,Yea
237,41,Yea
237,42,Nay
237,43,Nay
237,44,Not Voting
237,45,Yea
237,46,Yea
237,47,Yea
237,48,Nay
237,49,Nay
236,0,Nay
236,1,Nay
236,2,Yea
236,3,Nay
236,4,Yea
236,5,Yea
236,6,Nay
236,7,Yea
236,8,Nay
236,9,Yea
236,10,Yea
236,11,Nay
236,12,Nay
236,13,Yea
236,14,Nay
236,15,Nay
236,16,Yea
236,17,Nay
236,18,Nay
236,19,Yea
236,20,Yea
236,21,Nay
236,22,Yea
236,23,Not Voting
236,24,Yea
236,25,Nay
236,26,Nay
236,27,Yea
236,28,Nay
236,29,Nay
236,30,Yea
236,31,Yea
236,32,Yea
236,33,Yea
236,34,Nay
236,35,Nay
236,36,Not Voting
236,37,Yea
236,38,Nay
236,39,Nay
236,40,Yea
236,41,Yea
236,42,Nay
236,43,Nay
236,44,Nay
236,45,Yea
236,46,Yea
236,47,Yea
236,48,Nay
236,49,Nay
235,0,Nay
235,1,Nay
235,2,Yea
235,3,Nay
235,4,Yea
235,5,Yea
235,6,Nay
235,7,Yea
235,8,Nay
235,9,Yea
235,10,Yea
235,11,Nay
235,12,Nay
235,13,Yea
235,14,Nay
235,15,Nay
235,16,Yea
235,17,Nay
235,18,Nay
235,19,Yea
235,20,Yea
235,21,Nay
235,22,Yea
235,23,Not Voting
235,24,Yea
235,25,Nay
235,26,Nay
235,27,Yea
235,28,Nay
235,29,Nay
235,30,Yea
235,31,Yea
235,32,Yea
235,33,Yea
235,34,Nay
235,35,Nay
235,36,Not Voting
235,37,Yea
235,38,Nay
235,39,Nay
235,40,Yea
235,41,Yea
235,42,Nay
235,43,Nay
235,44,Nay
235,45,Yea
235,46,Yea
235,47,Yea
235,48,Nay
235,49,Nay
234,0,Nay
234,1,Nay
234,2,Yea
234,3,Nay
234,4,Yea
234,5,Not Voting
234,6,Nay
234,7,Yea
234,8,Nay
234,9,Yea
234,10,Yea
234,11,Nay
234,12,Nay
234,13,Yea
234,14,Nay
234,15,Nay
234,16,Nay
234,17,Nay
234,18,Nay
234,19,Yea
234,20,Yea
234,21,Nay
234,22,Yea
234,23,Nay
234,24,Yea
234,25,Nay
234,26,Nay
234,27,Yea
234,28,Nay
234,29,Nay
234,30,Yea
234,31,Yea
234,32,Yea
234,33,Yea
234,34,Nay
234,35,Nay
234,36,Not Voting
234,37,Yea
234,38,Nay
234,39,Nay
234,40,Yea
234,41,Yea
234,42,Nay
234,43,Nay
234,44,Nay
234,45,Yea
234,46,Yea
234,47,Yea
234,48,Nay
234,49,Nay
233,0,Nay
233,1,Nay
